url,title,address,rent,management_fee,deposit,key_money,floor,floor_plan,area,building_age,building_size,nearest_station,distance_to_nearest_station,avg_distance_to_stations,avg_rent_by_station,avg_rent_by_floor_plan,count_listings_per_station,count_listings_per_floor_plan
https://suumo.jp/chintai/jnc_000104126490/?bc=100483387552,西武新宿線 上石神井駅 2階建 築4年,東京都練馬区上石神井１,74000.0,3000.0,,,2,1R,20.79,4,2,上石神井駅,6,13.67,74000.0,77692.34,1,1071
https://suumo.jp/chintai/jnc_000104178846/?bc=100476609409,Rua目白,東京都新宿区下落合３,110000.0,6000.0,110000.0,110000.0,1,1DK,36.18,24,2,下落合駅,1,7.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104326010/?bc=100486220203,ZOOM高田馬場,東京都新宿区下落合１,153000.0,8000.0,153000.0,153000.0,4,1DK,30.56,5,10,下落合駅,5,10.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000075356931/?bc=100484582900,ZOOM高田馬場,東京都新宿区下落合１,130000.0,8000.0,130000.0,130000.0,5,1DK,30.69,5,10,下落合駅,5,10.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000075356934/?bc=100481518869,ZOOM高田馬場,東京都新宿区下落合１,133000.0,7000.0,133000.0,133000.0,8,1DK,29.37,5,10,下落合駅,5,10.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000076867817/?bc=100472304790,アマリア落合,東京都新宿区中落合２,73000.0,,73000.0,,2,1DK,27.2,67,2,下落合駅,8,10.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104509144/?bc=100477031684,カーサ野原,東京都新宿区上落合１,95000.0,3000.0,95000.0,95000.0,3,1DK,32.7,42,3,下落合駅,3,10.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000096117880/?bc=100484812654,ガラ・シティ高田馬場,東京都新宿区下落合２,145000.0,5000.0,145000.0,145000.0,12,1DK,35.0,24,12,下落合駅,7,8.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000077275791/?bc=100479711807,コーポ塩島,東京都新宿区高田馬場３,100000.0,12000.0,100000.0,100000.0,2,1DK,30.24,38,4,下落合駅,3,8.33,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104391729/?bc=100485548359,フォレストヒルズ中落合,東京都新宿区中落合２,108000.0,10000.0,,108000.0,3,1DK,29.98,28,4,下落合駅,5,10.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104091492/?bc=100483049052,モダンアパートメント高田馬場,東京都新宿区下落合４,103000.0,4000.0,103000.0,103000.0,3,1DK,25.98,6,3,下落合駅,6,12.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000032425636/?bc=100486085999,米山アパート,東京都新宿区高田馬場３,63000.0,,63000.0,63000.0,1,1DK,22.0,52,2,下落合駅,7,11.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000102547002/?bc=100411665602,落合エイコーマンション,東京都新宿区下落合１,65000.0,3000.0,65000.0,65000.0,6,1DK,25.0,48,6,下落合駅,4,6.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104249152/?bc=100483926770,西武新宿線 下落合駅 2階建 築2年,東京都新宿区中落合２,160000.0,15000.0,,,1,1DK,33.45,2,2,下落合駅,4,10.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104391730/?bc=100485488978,西武新宿線 下落合駅 3階建 築28年,東京都新宿区中落合２,108000.0,10000.0,,108000.0,3,1DK,29.98,28,3,下落合駅,5,14.33,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104186385/?bc=100483625662,西武新宿線 下落合駅 3階建 築4年,東京都新宿区下落合４,128000.0,20000.0,,,1,1DK,24.05,4,3,下落合駅,7,10.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000103593438/?bc=100481242083,西武新宿線 下落合駅 4階建 築39年,東京都新宿区下落合１,74000.0,3000.0,74000.0,,1,1DK,28.17,39,4,下落合駅,3,9.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000103873092/?bc=100481705535,西武新宿線 下落合駅 9階建 築29年,東京都新宿区高田馬場３,99000.0,5000.0,99000.0,99000.0,8,1DK,28.55,29,9,下落合駅,9,11.33,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000097881606/?bc=100437961598,西武新宿線 下落合駅 9階建 築29年,東京都新宿区高田馬場３,89000.0,5000.0,89000.0,89000.0,9,1DK,28.55,29,9,下落合駅,9,11.33,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104076250/?bc=100482936491,Ｄ’ｓＶＡＲＩＥ高田馬場レジデンス,東京都新宿区下落合４,128000.0,20000.0,,,1,1DK,24.05,4,4,下落合駅,7,8.5,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104509202/?bc=100486166184,ＪＲ山手線 高田馬場駅 10階建 築5年,東京都新宿区下落合１,153000.0,8000.0,153000.0,153000.0,4,1DK,30.56,5,10,下落合駅,5,9.67,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104498689/?bc=100486107896,ＪＲ山手線 高田馬場駅 2階建 築52年,東京都新宿区高田馬場３,63000.0,,63000.0,63000.0,1,1DK,22.0,52,2,下落合駅,7,10.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104085847/?bc=100483324484,ＪＲ山手線 高田馬場駅 3階建 築6年,東京都新宿区下落合４,103000.0,4000.0,103000.0,103000.0,3,1DK,25.98,6,3,下落合駅,6,11.33,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104454676/?bc=100485779101,ＪＲ山手線 高田馬場駅 4階建 新築,東京都新宿区高田馬場３,155000.0,10000.0,,,2,1DK,26.92,0,4,下落合駅,6,8.33,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000103658019/?bc=100480409754,ＪＲ山手線 高田馬場駅 地下1地上4階建 新築,東京都新宿区高田馬場３,155000.0,10000.0,,,2,1DK,26.92,0,5,下落合駅,6,8.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000103636276/?bc=100481322745,ＬｉｖｅＦｌａｔ高田馬場,東京都新宿区高田馬場３,155000.0,10000.0,,,2,1DK,26.92,0,5,下落合駅,6,8.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000103636278/?bc=100480714785,ＬｉｖｅＦｌａｔ高田馬場,東京都新宿区高田馬場３,160000.0,10000.0,,,3,1DK,28.75,0,5,下落合駅,6,8.0,136411.03,123325.96,390,339
https://suumo.jp/chintai/jnc_000104372539/?bc=100479096561,APRICOT,東京都新宿区中落合２,94000.0,5000.0,,188000.0,1,1K,26.27,20,2,下落合駅,9,13.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104540969/?bc=100469218526,APRICOT,東京都新宿区中落合２,95000.0,5000.0,,190000.0,1,1K,26.27,20,2,下落合駅,9,13.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000103770588/?bc=100480731616,AXAS高田馬場,東京都新宿区高田馬場４,110000.0,10000.0,,110000.0,5,1K,26.03,15,11,下落合駅,8,10.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104285663/?bc=100484819235,B City 高田馬場　alivie,東京都新宿区高田馬場３,93000.0,15000.0,,93000.0,2,1K,25.52,13,6,下落合駅,3,8.67,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000103599931/?bc=100483908962,B City 高田馬場　alivie,東京都新宿区高田馬場３,92000.0,10000.0,92000.0,92000.0,4,1K,25.52,13,6,下落合駅,3,8.67,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000102663277/?bc=100481899450,CREAL高田馬場,東京都新宿区下落合４,89000.0,10000.0,,,1,1K,20.29,6,3,下落合駅,4,11.0,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000103204675/?bc=100481380994,アイコート下落合,東京都新宿区下落合４,90000.0,5000.0,90000.0,,1,1K,22.48,8,2,下落合駅,7,11.0,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104509150/?bc=100445998708,アルティザ新宿落合ソノリテ,東京都新宿区上落合２,126000.0,18000.0,,,2,1K,25.13,2,5,下落合駅,5,7.67,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000103610284/?bc=100485948516,アルティザ新宿落合ソノリテ,東京都新宿区上落合２,127000.0,18000.0,,,2,1K,26.42,2,5,下落合駅,5,7.67,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104518508/?bc=100486226750,エクセル,東京都新宿区上落合１,76000.0,2000.0,76000.0,76000.0,1,1K,19.44,26,2,下落合駅,8,9.0,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104101241/?bc=100484364723,エミリブ下落合,東京都新宿区下落合１,143000.0,8000.0,,,3,1K,25.46,14,8,下落合駅,1,9.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104028799/?bc=100482474767,エミリブ下落合,東京都新宿区下落合１,143000.0,8000.0,,,4,1K,25.46,14,8,下落合駅,1,9.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000104261574/?bc=100484237488,エミリブ下落合,東京都新宿区下落合１,144000.0,8000.0,,,4,1K,25.46,14,8,下落合駅,1,9.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000101438332/?bc=100484673781,エミリブ下落合,東京都新宿区下落合１,145000.0,8000.0,,,6,1K,25.11,14,8,下落合駅,1,9.33,136411.03,95329.65,390,1622
https://suumo.jp/chintai/jnc_000103432592/?bc=100484350773,エミリブ下落合,東京都新宿区下落合１,145000.0,8000.0,,,6,1K,25.46,14,8,下落合駅,1,9.33,136411.03,95329.65,390,1622
