title,address,building_age,building_size,stations,nearest_station,distance_to_nearest_station,avg_distance_to_stations,url,rent,management_fee,deposit,key_money,floor,floor_plan,area
ミューズハイムウエスト,東京都新宿区西落合２,築40年,4階建,"都営大江戸線/落合南長崎駅 歩8分,西武新宿線/新井薬師前駅 歩14分,西武新宿線/中井駅 歩20分",落合南長崎駅,8,14.0,https://suumo.jp/chintai/jnc_000104464225/?bc=100485949078,38.4万円,15000円,38.4万円,-,2階,4LDK,136m2
ニューハイツ中落合,東京都新宿区中落合１,築43年,地下1地上5階建,"西武新宿線/中井駅 歩5分,都営大江戸線/中井駅 歩5分,西武新宿線/下落合駅 歩8分",中井駅,5,6.0,https://suumo.jp/chintai/jnc_000088470029/?bc=100470591304,9.9万円,6000円,9.9万円,9.9万円,3階,1DK,33.38m2
ニューハイツ中落合,東京都新宿区中落合１,築43年,地下1地上5階建,"西武新宿線/中井駅 歩5分,都営大江戸線/中井駅 歩5分,西武新宿線/下落合駅 歩8分",中井駅,5,6.0,https://suumo.jp/chintai/jnc_000101329212/?bc=100465659542,21万円,10000円,21万円,21万円,5階,3LDK,71.58m2
ブライズ新宿中井,東京都新宿区中井１,築18年,地下1地上6階建,"西武新宿線/中井駅 歩4分,東京メトロ東西線/落合駅 歩10分,都営大江戸線/落合南長崎駅 歩14分",中井駅,4,9.33333333333333,https://suumo.jp/chintai/jnc_000103928524/?bc=100481641414,8.05万円,5000円,8.05万円,8.05万円,4階,1K,19.44m2
ブライズ新宿中井,東京都新宿区中井１,築18年,地下1地上6階建,"西武新宿線/中井駅 歩4分,東京メトロ東西線/落合駅 歩10分,都営大江戸線/落合南長崎駅 歩14分",中井駅,4,9.33333333333333,https://suumo.jp/chintai/jnc_000103873102/?bc=100485777528,8万円,9000円,8万円,8万円,3階,ワンルーム,19.78m2
ブライズ新宿中井,東京都新宿区中井１,築18年,地下1地上6階建,"西武新宿線/中井駅 歩4分,東京メトロ東西線/落合駅 歩10分,都営大江戸線/落合南長崎駅 歩14分",中井駅,4,9.33333333333333,https://suumo.jp/chintai/jnc_000095832217/?bc=100484790947,15万円,15000円,-,-,5階,2K,39.92m2
ブライズ新宿中井,東京都新宿区中井１,築18年,地下1地上6階建,"西武新宿線/中井駅 歩4分,東京メトロ東西線/落合駅 歩10分,都営大江戸線/落合南長崎駅 歩14分",中井駅,4,9.33333333333333,https://suumo.jp/chintai/jnc_000104416540/?bc=100485609995,15.5万円,15000円,-,-,5階,2K,39.92m2
Ａｇｌａｉａ　新宿西落合,東京都新宿区西落合１,新築,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩14分,西武新宿線/新井薬師前駅 歩17分",落合南長崎駅,4,11.6666666666667,https://suumo.jp/chintai/jnc_000104531833/?bc=100486335790,11.6万円,10000円,11.6万円,-,B1階,ワンルーム,20.45m2
Ａｇｌａｉａ　新宿西落合,東京都新宿区西落合１,新築,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩14分,西武新宿線/新井薬師前駅 歩17分",落合南長崎駅,4,11.6666666666667,https://suumo.jp/chintai/jnc_000104531834/?bc=100486335784,11.7万円,10000円,11.7万円,-,B1階,ワンルーム,20.45m2
Ａｇｌａｉａ　新宿西落合,東京都新宿区西落合１,新築,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩14分,西武新宿線/新井薬師前駅 歩17分",落合南長崎駅,4,11.6666666666667,https://suumo.jp/chintai/jnc_000104525338/?bc=100486335812,12.5万円,10000円,12.5万円,-,1階,ワンルーム,20.45m2
